time,temperature_2m,relative_humidity_2m,pressure_msl,dew_point_2m
2024-08-20T21:00,21.1,71,1017.4,15.6
2024-08-20T22:00,19.8,75,1018.0,15.3
2024-08-20T23:00,18.8,81,1018.1,15.4
2024-08-21T00:00,18.0,85,1018.5,15.4
2024-08-21T01:00,17.5,87,1018.8,15.3
2024-08-21T02:00,17.5,86,1018.9,15.1
2024-08-21T03:00,17.0,81,1019.1,13.7
2024-08-21T04:00,16.2,79,1019.2,12.5
2024-08-21T05:00,15.5,79,1019.5,11.8
2024-08-21T06:00,15.0,78,1019.5,11.2
2024-08-21T07:00,14.7,79,1020.1,11.2
2024-08-21T08:00,16.1,77,1020.9,12.1
2024-08-21T09:00,18.0,70,1021.7,12.4
2024-08-21T10:00,19.7,59,1022.2,11.5
2024-08-21T11:00,21.1,52,1022.3,10.9
2024-08-21T12:00,22.1,49,1022.1,10.9
2024-08-21T13:00,23.0,46,1021.7,10.8
2024-08-21T14:00,23.7,43,1020.9,10.2
2024-08-21T15:00,24.0,43,1020.3,10.5
2024-08-21T16:00,24.2,42,1019.6,10.5
2024-08-21T17:00,23.9,42,1019.5,10.2
2024-08-21T18:00,23.4,44,1019.6,10.4
2024-08-21T19:00,22.0,58,1019.7,13.5
2024-08-21T20:00,19.3,64,1020.2,12.4
2024-08-21T21:00,18.5,60,1021.7,10.6
2024-08-21T22:00,17.5,63,1022.2,10.3
2024-08-21T23:00,16.9,65,1022.5,10.3
2024-08-22T00:00,16.2,68,1022.8,10.4
2024-08-22T01:00,15.6,71,1022.7,10.3
2024-08-22T02:00,15.2,72,1022.3,10.2
2024-08-22T03:00,13.6,81,1022.0,10.4
2024-08-22T04:00,13.6,81,1021.9,10.3
2024-08-22T05:00,15.2,73,1022.1,10.3
2024-08-22T06:00,14.8,75,1022.3,10.5
2024-08-22T07:00,14.2,81,1022.9,11.0
2024-08-22T08:00,15.5,85,1023.7,12.9
2024-08-22T09:00,18.1,75,1024.3,13.5
2024-08-22T10:00,20.5,59,1024.7,12.2
2024-08-22T11:00,22.2,49,1025.0,11.0
2024-08-22T12:00,23.5,44,1025.0,10.4
2024-08-22T13:00,24.4,42,1024.3,10.5
2024-08-22T14:00,24.9,41,1023.9,10.7
2024-08-22T15:00,25.2,40,1023.6,10.7
2024-08-22T16:00,25.3,39,1023.2,10.5
2024-08-22T17:00,25.2,40,1022.7,10.5
2024-08-22T18:00,24.9,42,1022.0,11.2
2024-08-22T19:00,22.7,76,1021.7,18.4
2024-08-22T20:00,21.7,62,1022.0,14.2
2024-08-22T21:00,19.3,68,1023.8,13.2
2024-08-22T22:00,18.3,74,1024.2,13.6
2024-08-22T23:00,17.0,81,1024.4,13.8
2024-08-23T00:00,15.8,87,1024.6,13.6
2024-08-23T01:00,16.1,83,1024.4,13.2
2024-08-23T02:00,16.1,83,1024.6,13.3
2024-08-23T03:00,14.5,90,1024.2,12.9
2024-08-23T04:00,14.1,91,1024.4,12.7
2024-08-23T05:00,14.5,89,1024.5,12.6
2024-08-23T06:00,13.7,92,1025.0,12.5
2024-08-23T07:00,14.2,93,1025.6,13.1
2024-08-23T08:00,16.8,87,1025.9,14.5
2024-08-23T09:00,18.9,77,1026.8,14.8
2024-08-23T10:00,21.4,64,1026.8,14.2
2024-08-23T11:00,23.1,53,1026.7,13.1
2024-08-23T12:00,24.4,48,1026.5,12.8
2024-08-23T13:00,25.4,45,1025.9,12.7
2024-08-23T14:00,26.2,43,1025.4,12.8
2024-08-23T15:00,26.6,43,1024.8,12.8
2024-08-23T16:00,26.8,42,1024.2,13.0
2024-08-23T17:00,26.6,43,1023.8,12.9
2024-08-23T18:00,25.7,47,1023.8,13.5
2024-08-23T19:00,23.6,58,1023.9,14.8
2024-08-23T20:00,21.4,61,1024.0,13.4
2024-08-23T21:00,19.2,67,1025.4,13.0
2024-08-23T22:00,18.5,70,1025.5,12.8
2024-08-23T23:00,17.9,73,1025.4,12.9
2024-08-24T00:00,17.3,77,1025.4,13.1
2024-08-24T01:00,16.0,84,1025.0,13.3
2024-08-24T02:00,14.8,90,1025.0,13.1
2024-08-24T03:00,14.6,90,1024.4,13.0
2024-08-24T04:00,14.2,91,1024.2,12.7
2024-08-24T05:00,14.6,92,1024.5,13.3
2024-08-24T06:00,14.0,95,1024.9,13.2
2024-08-24T07:00,14.6,94,1025.6,13.6
2024-08-24T08:00,16.6,88,1025.9,14.7
2024-08-24T09:00,19.0,80,1026.3,15.5
2024-08-24T10:00,21.6,70,1026.3,16.0
2024-08-24T11:00,23.7,58,1026.0,14.9
2024-08-24T12:00,25.3,49,1025.6,13.9
2024-08-24T13:00,26.6,44,1024.7,13.2
2024-08-24T14:00,27.5,40,1024.1,12.8
2024-08-24T15:00,28.2,38,1023.3,12.4
2024-08-24T16:00,28.5,36,1022.4,12.0
2024-08-24T17:00,28.4,37,1022.0,12.1
2024-08-24T18:00,27.6,43,1021.9,13.8
2024-08-24T19:00,25.1,61,1021.8,17.1
2024-08-24T20:00,21.4,67,1022.1,15.1
2024-08-24T21:00,20.6,67,1023.3,14.2
2024-08-24T22:00,19.2,73,1023.7,14.2
2024-08-24T23:00,18.5,74,1023.9,13.9
2024-08-25T00:00,18.0,75,1023.7,13.5
2024-08-25T01:00,17.3,78,1023.2,13.4
2024-08-25T02:00,17.3,78,1022.8,13.4
2024-08-25T03:00,16.4,86,1022.6,14.0
2024-08-25T04:00,15.3,92,1022.8,14.0
2024-08-25T05:00,15.0,95,1023.0,14.2
2024-08-25T06:00,15.1,96,1023.3,14.5
2024-08-25T07:00,15.6,96,1024.0,15.0
2024-08-25T08:00,17.4,92,1024.6,16.1
2024-08-25T09:00,19.9,84,1025.6,17.2
2024-08-25T10:00,22.4,75,1025.4,17.7
2024-08-25T11:00,24.6,61,1025.5,16.5
2024-08-25T12:00,26.3,51,1025.4,15.5
2024-08-25T13:00,27.5,46,1024.7,15.0
2024-08-25T14:00,28.4,43,1024.0,14.5
2024-08-25T15:00,29.1,40,1023.0,14.2
2024-08-25T16:00,29.5,39,1022.0,13.9
2024-08-25T17:00,29.4,38,1021.5,13.6
2024-08-25T18:00,28.8,44,1021.5,15.5
2024-08-25T19:00,25.8,75,1021.5,21.1
2024-08-25T20:00,22.2,72,1022.0,16.9
2024-08-25T21:00,20.7,66,1023.3,14.2
2024-08-25T22:00,20.2,66,1023.4,13.6
2024-08-25T23:00,18.3,74,1023.6,13.6
2024-08-26T00:00,17.8,74,1023.8,13.2
2024-08-26T01:00,17.7,73,1023.8,12.9
2024-08-26T02:00,17.2,80,1023.7,13.7
2024-08-26T03:00,18.6,74,1023.6,13.9
2024-08-26T04:00,17.8,79,1023.2,14.2
2024-08-26T05:00,16.3,88,1023.1,14.3
2024-08-26T06:00,16.1,89,1022.8,14.3
2024-08-26T07:00,16.0,91,1023.2,14.4
2024-08-26T08:00,18.9,81,1023.4,15.6
2024-08-26T09:00,21.8,78,1023.9,17.7
2024-08-26T10:00,24.6,75,1024.0,19.9
2024-08-26T11:00,26.6,63,1024.0,19.1
2024-08-26T12:00,28.3,52,1023.5,17.7
2024-08-26T13:00,29.6,46,1022.3,16.8
2024-08-26T14:00,30.6,43,1021.7,16.4
2024-08-26T15:00,31.2,41,1020.9,16.2
2024-08-26T16:00,31.5,40,1020.1,16.2
2024-08-26T17:00,31.5,40,1019.7,16.4
2024-08-26T18:00,31.0,44,1019.2,17.1
2024-08-26T19:00,27.8,66,1019.2,20.8
2024-08-26T20:00,25.5,67,1019.6,18.9
2024-08-26T21:00,24.9,71,1020.8,19.2
2024-08-26T22:00,24.2,71,1021.0,18.6
2024-08-26T23:00,23.4,74,1020.9,18.5
2024-08-27T00:00,21.6,85,1021.0,18.9
2024-08-27T01:00,21.8,84,1020.8,18.9
2024-08-27T02:00,21.6,84,1020.4,18.8
2024-08-27T03:00,21.2,86,1019.9,18.7
2024-08-27T04:00,20.7,87,1019.4,18.5
2024-08-27T05:00,20.4,89,1019.7,18.5
2024-08-27T06:00,20.1,90,1019.7,18.4
2024-08-27T07:00,19.8,90,1020.1,18.2
2024-08-27T08:00,21.2,85,1020.9,18.5
2024-08-27T09:00,23.7,75,1020.4,18.9
2024-08-27T10:00,26.3,64,1020.6,19.0
2024-08-27T11:00,28.8,57,1020.7,19.6
2024-08-27T12:00,30.6,53,1020.4,20.0
2024-08-27T13:00,31.9,50,1019.8,20.2
2024-08-27T14:00,32.7,46,1019.2,19.5
2024-08-27T15:00,33.0,42,1018.6,18.5
2024-08-27T16:00,33.0,42,1018.3,18.2
2024-08-27T17:00,32.6,42,1017.8,18.1
2024-08-27T18:00,32.1,48,1017.6,19.6
2024-08-27T19:00,30.2,59,1017.5,21.2
2024-08-27T20:00,27.9,64,1017.7,20.5
2024-08-27T21:00,26.0,72,1018.6,20.4
2024-08-27T22:00,25.4,68,1019.2,19.0
2024-08-27T23:00,24.8,68,1019.5,18.5
2024-08-28T00:00,24.2,71,1019.3,18.5
2024-08-28T01:00,23.5,73,1019.1,18.5
2024-08-28T02:00,23.0,75,1018.7,18.3
2024-08-28T03:00,22.5,76,1018.2,18.2
2024-08-28T04:00,22.1,77,1018.4,18.0
2024-08-28T05:00,21.7,78,1019.0,17.7
2024-08-28T06:00,21.4,78,1019.0,17.4
2024-08-28T07:00,21.2,78,1019.1,17.3
2024-08-28T08:00,22.4,77,1019.4,18.2
2024-08-28T09:00,25.1,73,1019.9,20.0
2024-08-28T10:00,27.7,66,1019.9,20.9
2024-08-28T11:00,30.2,58,1019.8,21.1
2024-08-28T12:00,32.0,52,1019.2,20.8
2024-08-28T13:00,33.0,46,1018.5,19.8
2024-08-28T14:00,33.7,43,1017.9,19.4
2024-08-28T15:00,34.1,41,1017.2,19.1
2024-08-28T16:00,34.2,40,1016.6,18.8
2024-08-28T17:00,33.9,42,1016.2,19.0
2024-08-28T18:00,33.1,47,1016.0,20.2
2024-08-28T19:00,31.1,57,1016.0,21.5
2024-08-28T20:00,28.9,55,1016.6,19.0
2024-08-28T21:00,26.6,65,1017.8,19.6
2024-08-28T22:00,25.9,65,1018.4,18.9
2024-08-28T23:00,25.3,66,1019.0,18.5
2024-08-29T00:00,24.6,70,1019.2,18.8
2024-08-29T01:00,24.2,73,1019.5,19.0
2024-08-29T02:00,23.7,75,1019.3,19.0
2024-08-29T03:00,23.2,77,1019.0,19.0
2024-08-29T04:00,22.9,78,1018.8,18.9
2024-08-29T05:00,22.4,80,1019.0,18.9
2024-08-29T06:00,22.0,82,1019.0,18.8
2024-08-29T07:00,22.0,82,1019.3,18.7
2024-08-29T08:00,23.4,79,1019.7,19.6
2024-08-29T09:00,25.8,75,1020.2,20.9
2024-08-29T10:00,28.2,68,1020.2,21.7
2024-08-29T11:00,30.7,61,1020.0,22.3
2024-08-29T12:00,32.7,51,1019.6,21.4
2024-08-29T13:00,33.9,44,1019.0,20.0
2024-08-29T14:00,34.4,42,1018.7,19.7
2024-08-29T15:00,34.8,41,1018.1,19.7
2024-08-29T16:00,34.9,41,1017.3,19.7
2024-08-29T17:00,32.2,48,1017.8,19.7
2024-08-29T18:00,31.6,55,1017.6,21.6
2024-08-29T19:00,29.8,80,1018.3,26.0
2024-08-29T20:00,28.0,78,1018.6,23.7
2024-08-29T21:00,26.4,83,1019.0,23.2
2024-08-29T22:00,26.2,79,1019.4,22.4
2024-08-29T23:00,25.8,79,1019.9,22.0
2024-08-30T00:00,25.9,76,1020.2,21.2
2024-08-30T01:00,25.1,76,1021.0,20.6
2024-08-30T02:00,21.4,95,1021.3,20.6
2024-08-30T03:00,21.7,97,1020.6,21.2
2024-08-30T04:00,21.4,99,1019.9,21.2
2024-08-30T05:00,21.2,98,1019.8,21.0
2024-08-30T06:00,21.2,98,1019.5,20.9
2024-08-30T07:00,21.0,98,1019.9,20.6
2024-08-30T08:00,22.5,98,1020.7,22.1
2024-08-30T09:00,25.5,82,1020.9,22.2
2024-08-30T10:00,27.5,74,1020.8,22.4
2024-08-30T11:00,29.5,66,1021.0,22.5
2024-08-30T12:00,26.7,75,1021.6,22.0
2024-08-30T13:00,27.9,72,1021.1,22.4
2024-08-30T14:00,29.5,66,1020.5,22.5
2024-08-30T15:00,28.6,69,1020.1,22.5
2024-08-30T16:00,28.7,71,1019.3,22.9
2024-08-30T17:00,28.9,71,1019.0,23.0
2024-08-30T18:00,28.5,72,1019.0,22.9
2024-08-30T19:00,27.4,79,1018.9,23.4
2024-08-30T20:00,26.1,86,1019.2,23.5
2024-08-30T21:00,21.8,93,1021.0,20.5
2024-08-30T22:00,21.5,94,1021.5,20.6
2024-08-30T23:00,21.3,96,1021.0,20.7
2024-08-31T00:00,21.1,98,1020.9,20.7
2024-08-31T01:00,20.7,99,1020.9,20.6
2024-08-31T02:00,20.5,100,1020.7,20.4
2024-08-31T03:00,20.3,100,1020.1,20.2
2024-08-31T04:00,19.8,100,1019.8,19.8
2024-08-31T05:00,19.8,100,1019.6,19.8
2024-08-31T06:00,20.2,100,1019.2,20.2
2024-08-31T07:00,20.1,100,1019.5,20.1
2024-08-31T08:00,20.7,98,1019.8,20.3
2024-08-31T09:00,22.9,90,1020.1,21.2
2024-08-31T10:00,24.6,82,1020.1,21.4
2024-08-31T11:00,25.5,79,1020.3,21.7
2024-08-31T12:00,26.4,76,1019.9,21.9
2024-08-31T13:00,27.1,74,1019.2,22.1
2024-08-31T14:00,27.9,69,1018.4,21.8
2024-08-31T15:00,28.6,66,1017.3,21.7
2024-08-31T16:00,29.3,63,1016.2,21.5
2024-08-31T17:00,29.4,60,1015.5,20.9
2024-08-31T18:00,29.3,60,1014.9,20.9
2024-08-31T19:00,27.1,86,1014.9,24.7
2024-08-31T20:00,24.8,90,1015.1,23.1
2024-08-31T21:00,24.9,84,1016.5,22.0
2024-08-31T22:00,24.1,84,1016.9,21.1
2024-08-31T23:00,24.0,81,1016.7,20.6
2024-09-01T00:00,24.1,80,1016.6,20.3
2024-09-01T01:00,23.8,81,1016.4,20.3
2024-09-01T02:00,23.3,85,1015.8,20.6
2024-09-01T03:00,22.5,92,1015.5,21.1
2024-09-01T04:00,22.5,94,1015.3,21.5
2024-09-01T05:00,22.3,96,1015.0,21.6
2024-09-01T06:00,22.0,97,1015.1,21.5
2024-09-01T07:00,21.1,99,1015.5,20.9
2024-09-01T08:00,23.0,93,1016.0,21.8
2024-09-01T09:00,25.2,85,1016.1,22.5
2024-09-01T10:00,26.6,78,1016.2,22.6
2024-09-01T11:00,28.3,71,1016.1,22.5
2024-09-01T12:00,29.3,67,1015.7,22.5
2024-09-01T13:00,30.0,65,1015.1,22.7
2024-09-01T14:00,30.6,61,1014.5,22.3
2024-09-01T15:00,31.3,56,1013.6,21.6
2024-09-01T16:00,31.3,51,1012.2,20.0
2024-09-01T17:00,30.3,55,1012.4,20.2
2024-09-01T18:00,28.3,67,1013.0,21.6
2024-09-01T19:00,26.9,79,1013.3,23.0
2024-09-01T20:00,25.3,90,1014.0,23.5
2024-09-01T21:00,22.6,99,1015.0,22.5
2024-09-01T22:00,22.9,99,1016.0,22.8
2024-09-01T23:00,22.9,99,1016.1,22.8
2024-09-02T00:00,22.5,99,1015.6,22.4
2024-09-02T01:00,22.5,100,1015.1,22.4
2024-09-02T02:00,22.5,100,1014.2,22.4
2024-09-02T03:00,22.3,100,1014.4,22.2
2024-09-02T04:00,22.2,100,1014.4,22.2
2024-09-02T05:00,22.1,100,1014.5,22.0
2024-09-02T06:00,22.0,99,1014.4,21.8
2024-09-02T07:00,21.9,98,1015.0,21.6
2024-09-02T08:00,22.0,99,1015.4,21.9
2024-09-02T09:00,22.6,100,1016.4,22.6
2024-09-02T10:00,23.0,98,1016.7,22.7
2024-09-02T11:00,22.9,98,1017.1,22.6
2024-09-02T12:00,24.1,92,1017.3,22.7
2024-09-02T13:00,25.0,84,1017.0,22.1
2024-09-02T14:00,26.3,74,1016.4,21.4
2024-09-02T15:00,27.3,67,1015.7,20.6
2024-09-02T16:00,27.7,63,1015.5,19.9
2024-09-02T17:00,27.4,61,1015.6,19.2
2024-09-02T18:00,26.8,65,1015.9,19.6
2024-09-02T19:00,25.3,70,1016.6,19.5
2024-09-02T20:00,23.9,74,1017.2,19.0
2024-09-02T21:00,22.8,78,1018.7,18.7
2024-09-02T22:00,22.3,77,1019.8,18.0
2024-09-02T23:00,21.8,76,1020.1,17.3
2024-09-03T00:00,21.0,66,1020.7,14.5
2024-09-03T01:00,20.0,58,1020.9,11.4
2024-09-03T02:00,19.1,55,1020.9,9.8
2024-09-03T03:00,18.5,55,1020.7,9.4
2024-09-03T04:00,18.2,57,1021.1,9.6
2024-09-03T05:00,17.8,60,1021.5,10.0
2024-09-03T06:00,17.4,62,1022.1,10.1
2024-09-03T07:00,16.9,64,1023.0,10.1
2024-09-03T08:00,17.2,67,1023.7,11.0
2024-09-03T09:00,17.9,69,1024.6,12.2
2024-09-03T10:00,19.3,65,1025.0,12.6
2024-09-03T11:00,20.8,59,1025.2,12.5
2024-09-03T12:00,22.1,53,1024.9,12.1
2024-09-03T13:00,23.0,49,1024.2,11.7
2024-09-03T14:00,23.6,47,1023.8,11.7
2024-09-03T15:00,23.9,46,1023.3,11.6
2024-09-03T16:00,23.8,45,1022.7,11.2
2024-09-03T17:00,23.4,46,1022.5,11.2
2024-09-03T18:00,22.8,52,1022.7,12.3
2024-09-03T19:00,21.0,61,1022.8,13.2
2024-09-03T20:00,19.5,66,1023.1,12.9
2024-09-03T21:00,18.6,65,1024.9,12.0
2024-09-03T22:00,18.0,67,1025.7,11.8
2024-09-03T23:00,17.5,68,1026.2,11.6
2024-09-04T00:00,17.0,70,1026.2,11.4
2024-09-04T01:00,15.9,75,1025.9,11.5
2024-09-04T02:00,15.4,78,1025.9,11.5
2024-09-04T03:00,15.0,79,1025.9,11.5
2024-09-04T04:00,14.8,81,1025.8,11.6
2024-09-04T05:00,14.5,82,1025.8,11.4
2024-09-04T06:00,14.4,82,1026.2,11.3
2024-09-04T07:00,14.4,82,1027.0,11.5
2024-09-04T08:00,15.6,82,1027.4,12.5
2024-09-04T09:00,17.2,78,1028.0,13.3
2024-09-04T10:00,18.5,75,1028.4,13.9
2024-09-04T11:00,20.2,71,1028.3,14.7
2024-09-04T12:00,22.3,66,1027.7,15.6
2024-09-04T13:00,24.1,62,1027.1,16.4
2024-09-04T14:00,25.2,59,1026.5,16.7
2024-09-04T15:00,25.8,55,1025.7,16.1
2024-09-04T16:00,25.9,54,1025.0,15.8
2024-09-04T17:00,24.9,57,1025.0,15.9
2024-09-04T18:00,23.9,66,1024.9,17.1
2024-09-04T19:00,22.9,71,1025.0,17.3
2024-09-04T20:00,21.4,77,1025.2,17.1
2024-09-04T21:00,20.1,81,1026.5,16.8
2024-09-04T22:00,19.2,83,1027.1,16.2
2024-09-04T23:00,19.0,81,1027.5,15.7
2024-09-05T00:00,18.6,81,1027.4,15.3
2024-09-05T01:00,18.3,80,1026.9,14.8
2024-09-05T02:00,17.7,82,1026.3,14.5
2024-09-05T03:00,17.7,80,1025.8,14.3
2024-09-05T04:00,17.1,83,1025.9,14.3
2024-09-05T05:00,16.8,85,1025.8,14.3
2024-09-05T06:00,16.6,87,1025.5,14.4
2024-09-05T07:00,16.7,87,1025.3,14.5
2024-09-05T08:00,17.5,85,1025.6,14.9
2024-09-05T09:00,18.0,84,1026.2,15.3
2024-09-05T10:00,19.4,78,1026.1,15.6
2024-09-05T11:00,20.5,75,1025.7,16.0
2024-09-05T12:00,22.1,68,1025.1,16.0
2024-09-05T13:00,23.5,62,1024.4,15.7
2024-09-05T14:00,25.1,55,1023.7,15.3
2024-09-05T15:00,25.7,50,1022.8,14.5
2024-09-05T16:00,26.1,50,1022.1,14.9
2024-09-05T17:00,26.2,50,1021.7,15.0
2024-09-05T18:00,24.9,56,1021.3,15.6
2024-09-05T19:00,23.1,68,1021.2,16.8
2024-09-05T20:00,20.2,79,1021.2,16.4
2024-09-05T21:00,19.2,83,1022.7,16.1
2024-09-05T22:00,18.4,85,1022.6,15.9
2024-09-05T23:00,18.5,84,1022.4,15.7
2024-09-06T00:00,18.0,86,1021.9,15.5
2024-09-06T01:00,17.5,87,1021.2,15.3
2024-09-06T02:00,17.2,88,1020.8,15.2
2024-09-06T03:00,16.8,90,1020.4,15.2
2024-09-06T04:00,16.5,92,1020.2,15.1
2024-09-06T05:00,16.2,94,1020.1,15.1
2024-09-06T06:00,15.9,95,1019.9,15.0
2024-09-06T07:00,15.7,96,1020.0,15.0
2024-09-06T08:00,17.1,92,1020.3,15.8
2024-09-06T09:00,19.0,86,1020.4,16.6
2024-09-06T10:00,21.2,78,1020.3,17.3
2024-09-06T11:00,22.9,68,1019.9,16.6
2024-09-06T12:00,24.2,62,1019.3,16.3
2024-09-06T13:00,25.2,58,1018.6,16.4
2024-09-06T14:00,25.9,56,1017.8,16.5
2024-09-06T15:00,26.4,54,1016.9,16.4
2024-09-06T16:00,26.3,54,1016.0,16.2
2024-09-06T17:00,26.1,55,1015.3,16.2
2024-09-06T18:00,25.6,60,1015.0,17.4
2024-09-06T19:00,23.6,74,1014.8,18.8
2024-09-06T20:00,21.8,82,1014.6,18.6
2024-09-06T21:00,20.1,84,1015.3,17.3
2024-09-06T22:00,19.8,87,1015.1,17.6
2024-09-06T23:00,19.5,89,1015.2,17.7
2024-09-07T00:00,19.9,87,1014.6,17.7
2024-09-07T01:00,19.2,92,1014.3,17.9
2024-09-07T02:00,19.1,94,1013.7,18.1
2024-09-07T03:00,19.2,93,1013.2,18.1
2024-09-07T04:00,19.3,92,1012.6,17.9
2024-09-07T05:00,19.3,92,1012.4,18.0
2024-09-07T06:00,19.0,94,1011.3,18.0
